Film,Year,Body_Count,MPAA_Rating,Genre,Director,Actors,Length_Minutes,IMDB_Rating
Superman Returns,2006,10,PG-13,Action|Adventure|Fantasy|Sci-Fi,Bryan Singer,Brandon Routh|Kate Bosworth|Kevin Spacey|James Marsden|Parker Posey|Frank Langella|Sam Huntington|Eva Marie Saint|Marlon Brando|Kal Penn|Tristan Lake Leabu|David Fabrizio|Ian Roberts|Vincent Stone|Jack Larson|Noel Neill|James Karen|Stephan Bender|Peta Wilson|Jeff Truman|Barbara Angell|Ian Bliss|Ansuya Nathan|Richard Branson|Sam Branson|Warwick Young|Bradd Buckley|Bill Young|Thomas Stewart|David Webb|Patricia Howson|Mirren Lee|Steve Ostrow|Hank Roberts|Jordana Beatty|Karina Bracken|Raelee Hill|Lee James|Michael Duggan|Keegan Joyce|Frederique Fouche|Julian Pulvermacher|Rebecca Barratt|Penelope Heath|Ted Maynard|Ed Wightman|Prue Lewarne|Paul Shedlowich|Barry Quin|Francine Bell|Genevieve Davis|Adrian Jarrett|Marcello Fabrizi|Donald McDonald|Robert Meyer Burnett|Terrell Dixon|Duff Watkins|Narelle Valentine|Rebecca Rocheford Davies|Wayne McDaniel|Lisa Harrison|Gerry Sont|Rohan Michael|Karen Pang|Monique Dykstra|Kevin Fisher|John Lucantonio|Rob Flanagan|Phillip Henry|Henry Browne|Darin Rossi|Aaron Chato|Alison Araya|Andrew Cole|Michael Dougherty|Dan Ewing|Dan Harris|Darren K. Hawkins|Yutaka Izumihara|Angela Johnson|Sally Kimpton|Lara Lukich|Bobby Roe|Roger Sciberras|Jennifer Sciole|Suzie Steen|Rajan Velu|Gordon Waddell|Emma Whittaker|Robert Zurobski,154,6.2
Sweeney Todd: The Demon Barber of Fleet Street,2007,12,R,Drama|Horror|Musical|Thriller,Tim Burton,Johnny Depp|Helena Bonham Carter|Alan Rickman|Timothy Spall|Sacha Baron Cohen|Jamie Campbell Bower|Laura Michelle Kelly|Jayne Wisener|Ed Sanders|Gracie May|Ava May|Gabriella Freeman|Jody Halse|Aron Paramor|Lee Whitlock|Nick Haverson|Mandy Holliday|Colin Higgins|John Paton|Graham Bohea|Daniel Lusardi|Ian McLarnon|Phill Woodfine|Toby Hefferman|Charlotte Child|Kira Woolman|Helen Slaymaker|Jess Murphy|Nicholas Hewetson|Adam Roach|Marcus Cunningham|David McKail|Philip Philmar|Gemma Grey|Sue Maund|Emma Hewitt|Buck Holland|Peter Mountain|Harry Taylor|Stephen Ashfield|Jerry Judge|Norman Campbell Rees|Jonathan Williams|William Oxborrow|Tom Pleydell-Pearce|Laura Sanchez|Johnson Willis|Jon-Paul Hevey|Liza Sadovy|Jane Fowler|Gaye Brown|Shane James Bordas|Victoria Bull|Cecilia Colby|Neil Findlater|Elizabeth Ford|Tim Glanfield|Kas Graham|Kasia Halpin|Anthony Head|Les Loveday|Vince McGahon|Nick Thomas-Webster|Paul Vigrass|Vesna Vujat,116,7.5
Sweepers,1998,74,R,Action|Adventure|Drama,Keoni Waxman,Dolph Lundgren|Bruce Payne|Claire Stansfield|Ian Roberts|Fats Bookholane|Sifiso Maphanga|Ross Preller|Nick Boraine|Cecil Carter|David Dukas|Zukile Ggobose|Philip Notununu|Gabriel Mndaweni|Frank Pereira|Dave Ridley|Ernest Mbanzi|Joao Ceita|Jeff Bearden|Grant Swanby|Sean Redpath|Jacob Moskokoa|Greg Melvill-Smith|Joseph Clark|Jurgen Hellberg|Rowan Southern|Drummond Marais|Nicky Rebello|Ashley Taylor|Dan Robbertse|Edu|Emily McArthur,96,3.4
Swordfish,2001,41,R,Action|Crime|Thriller,Dominic Sena,John Travolta|Hugh Jackman|Halle Berry|Don Cheadle|Sam Shepard|Vinnie Jones|Drea de Matteo|Rudolf Martin|Zach Grenier|Camryn Grimes|Angelo Pagan|Chic Daniel|Kirk B.R. Woller|Carmen Argenziano|Tim DeKay|Laura Lane|Tait Ruppert|Craig Braun|William Mapother|Ilia Volok|Jonathan Fraser|Shawn Woods|Leo Lee|Marina Black|Kerry Kletter|Ryan Wulff|Ann Travolta|Margaret Travolta|Dana Hee|Denney Pierce|Jeff Ramsey|Joey Box|Debbie Evans|Sam Travolta|Tim Storms|Jason Christopher|Jonathan Pessin|Scott Burkholder|Mark Soper|Craig Lally|Rusty McClennon|Mark Riccardi|Debbie Entin|Natalia Sokolova|Anika Poitier|Nick Loren|Tom Morris|Richard Householder|Michael Arias|Brenda Eimers|Timothy Omundson|Astrid Veillon|Dean Rader-Duval|George A. Chase|Corinne Chooey|Russ Cootey|Mark Donnell|Tate Donovan|Sierra Farber|Mimi Fletcher|Andrew Lakey|Alex Morissen|Cory Parella|Gary Rodriguez|Travis Rosario|George Marshall Ruge|Kevin F. Sherry,99,6.5
Syriana,2005,11,R,Drama|Thriller,Stephen Gaghan,Kayvan Novak|George Clooney|Amr Waked|Christopher Plummer|Jeffrey Wright|Chris Cooper|Robert Foxworth|Nicky Henson|Nicholas Art|Matt Damon|Amanda Peet|Steven Hinkle|Daisy Tormé|Peter Gerety|Richard Lintern|Jocelyn Quivrin|Mazhar Munir|Shahid Ahmed|Bikram Singh Bhamra|Roger Yuan|Jayne Atkinson|Thomas McCarthy|Jamey Sheridan|Randall Boffman|Tony French|Max Minghella|Katie Foster|Nadim Sawalha|Alexander Siddig|Ozzie Yue|Akbar Kurtha|Sonnell Dadral|Jon Lee Anderson|Othman Bin Hendi|Bashar Atiyat|Ali Al Amine|William Charles Mitchell|Tim Blake Nelson|Ahmed Aa Mohammed|Ahmed Ayoub|Mohammed Asad Khan|Atta Mohammed Saleh|Aziz Zacca|David Clennon|Omar Mostafa|Saïd Amadis|David J. Manners|Jamil Jabbar|Badria Timimi|William Hurt|Mohamed Majd|Mark Strong|Driss Roukhe|Katherine Hoskins Mackey|Linda E. Williams|Susan Allenback|William L. Thomas|Raji El Mahjoub|Michael Stone Forrest|Robert Baer|Fritz Michel|Bob Fajkowski|Jeff Baker|Tarik Tamzali|Mitesh Soni|Susan Duvall|Nabeel Noman|Ryan Murphy|Will McCormack|Donna Mitchell|James Plannette|Michael Allinson|Matt Cannon|Tom Cutler|Viola Davis|Bruce Allen Dawson|Paul Fahrenkopf|Alan Gates|Tyler Gatton|Anna George|Wendy Kush|Kirk Lambert|Charles McClelland|Kerry Meushaw|David Michie|Lauren Minite|Johnny Pitrelli|Bahar Soomekh|Sally Spaide|Alexander von Roon|Don Whatley,128,7.0
Taken,2008,35,PG-13,Action|Crime|Thriller,Pierre Morel,Liam Neeson|Maggie Grace|Jon Gries|David Warshofsky|Holly Valance|Katie Cassidy|Xander Berkeley|Olivier Rabourdin|Gérard Watkins|Famke Janssen|Leland Orser|Marc Amyot|Arben Bajraktaraj|Radivoje Bukvic|Mathieu Busson|Michel Flash|Nicolas Giraud|Rubens Hyka|Camille Japy|Valentin Kalaj|Fani Kolarova|Goran Kostic|Christophe Kourotchkine|Edwin Kruger|Jalil Naciri|Anca Radici|Nathan Rippy|Helena Soubeyrand|Tommy Spahija|Anatole Taubman|Bertrand Treuil|Opender Singh|Christy Reese|George Hertzberg|Nabil Massad|Ivette Gonzalez|Don Abernathy|Sophie Chamoux|Michael Finn|Dan Flood|Katrina Forrest|Jean-Yves Freyburger|Steve Janousek|Sid Karne|Tamara Witmer,93,7.9
Tango & Cash,1989,20,,Action|Comedy|Crime|Thriller,Andrey Konchalovskiy|Albert Magnoli,Sylvester Stallone|Kurt Russell|Teri Hatcher|Jack Palance|Brion James|James Hong|Marc Alaimo|Philip Tan|Michael J. Pollard|Robert Z'Dar|Lewis Arquette|Edward Bunker|Leslie Morris|Roy Brocksmith|Susan Krebs|David Byrd|Richard Fancy|Jerry Martinez|Michael Jeter|Bing Russell|Alphonse Walter|Peter Stensland|Phil Rubenstein|Elizabeth Sung|Clint Howard|Ed DeFusco|Jack Goode Jr.|Geoff Vanderstock|Larry Humburger|Mark Wood|Andre Rosey Brown|Saveliy Kramarov|Michael Francis Clarke|Ann Marie Gillis|Tammy Richardson|Patti Davis|Richard L. Duran|Doug Ford|Kenneth Pruitt|Ronald Moss|Richard Dominguez|Kristen Dalton|Tamara Landry|Anna Joyner|Melissa Bremner|Christie Mucciante|Lucia Neal|Roxanne Kernohan|Dori Courtney|Dale Swann|John Walter Davis|Adolfo Quinones|David Lea|Glenn Morshower|Salvador Espinoza|Christopher Wolf|Larry White|Richard J. Larson|Fred Trombley|Matt Tufo|David Phillips|Lewis Guido|James Reilley|Gilbert Esparza|Martin Valinsky|Donald Zinn|Duane Allen|Robert David Armstrong|Philip Weyland|Paul Lewis|Ron Cummins|Billy Blanks|Cibby Danyla|Richard Hale|Michael Lent|Geoffrey Lewis|Ari Ross|Rodney Saulsberry|Benny Urquidez,104,6.2
Taxi Driver,1976,4,,Crime|Drama,Martin Scorsese,Diahnne Abbott|Frank Adu|Victor Argo|Gino Ardito|Garth Avery|Peter Boyle|Albert Brooks|Harry Cohn|Copper Cunningham|Robert De Niro|Brenda Dickson|Harry Fischler|Jodie Foster|Nat Grant|Leonard Harris|Richard Higgs|Beau Kayser|Harvey Keitel|Victor Magnotta|Bob Maroff|Norman Matlock|Bill Minkin|Murray Moston|Harry Northup|Gene Palma|Harlan Cary Poe|Steven Prince|Peter Savage|Martin Scorsese|Cybill Shepherd|Nicholas Shields|Ralph S. Singleton|Joe Spinell|Maria Turner|Robin Utt|Tommy Ardolino|Joseph Bergmann|William Donovan|Jean Elliott|Annie Gagen|Trent Gough|Mary-Pat Green|James Mapes|Debbi Morgan|Billie Perkins,113,8.4
Team America: World Police,2004,79,R,Action|Adventure|Comedy|Music,Trey Parker,Trey Parker|Matt Stone|Kristen Miller|Masasa Moyo|Daran Norris|Phil Hendrie|Maurice LaMarche|Chelsea Marguerite|Jeremy Shada|Fred Tatasciore|Josiah D. Lee|John D. Kim|Paul Louis|David Michie|Christine Papalexis|Elle Russ|Victor Yerrid,98,7.2
The Terminator,1984,34,,Action|Sci-Fi,James Cameron,Arnold Schwarzenegger|Michael Biehn|Linda Hamilton|Paul Winfield|Lance Henriksen|Rick Rossovich|Bess Motta|Earl Boen|Dick Miller|Shawn Schepps|Bruce M. Kerner|Franco Columbu|Bill Paxton|Brad Rearden|Brian Thompson|William Wisher Jr.|Ken Fritz|Tom Oberhaus|Ed Dogans|Joe Farago|Hettie Lynne Hurtes|Tony Mirelez|Philip Gordon|Anthony Trujillo|Stan Yale|Al Kahn|Leslie Morris|Hugh Farrington|Harriet Medin|Loree Frazier|James Ralston|Norman Friedman|Barbara Powers|Wayne Stone|David Hyde Pierce|John E. Bristol|Webster Williams|Patrick Pinney|Bill W. Richmond|Chino 'Fats' Williams|Greg Robbins|Marianne Muellerleile|John Durban|J. Randolph Harrison|Darrell Mapson|John Stuart West,107,8.1
Terminator 2: Judgment Day,1991,23,R,Action|Sci-Fi|Thriller,James Cameron,Arnold Schwarzenegger|Linda Hamilton|Edward Furlong|Robert Patrick|Earl Boen|Joe Morton|S. Epatha Merkerson|Castulo Guerra|Danny Cooksey|Jenette Goldstein|Xander Berkeley|Leslie Hamilton Gearren|Ken Gibbel|Robert Winley|Peter Schrum|Shane Wilder|Michael Edwards|Jared Lounsbery|Casey Chavez|Ennalls Berl|Don Lake|Richard Vidan|Tom McDonald|Jim Palmer|Gerard G. Williams|Gwenda Deacon|Don Stanton|Dan Stanton|Colin Patrick Lynch|Noel Evangelisti|Nikki Cox|Lisa Brinegar|DeVaughn Nixon|Tony Simotes|Diane Rodriguez|Dalton Abbott|Ron Young|Charles Robert Brown|Abdul Salaam El Razzac|Mike Muscat|Dean Norris|Charles A. Tamburro|J. Rob Jordan|Terrence Evans|Denney Pierce|Mark Christopher Lawrence|Pat Kouri|Van Ling|Michael Albanese|Ed Arneson|Bret A. Arnold|Debra Casey|Jim Dahl|Martin DeLuca|Takao Komine|Joel Kramer|Anne Merrem|Scott Shaw|Steven Stear|Misty Jo Walker|Randy Walker|William Wisher Jr.,137,8.5
Terminator 3: Rise of the Machines,2003,14,R,Action|Sci-Fi|Thriller,Jonathan Mostow,Arnold Schwarzenegger|Nick Stahl|Claire Danes|Kristanna Loken|David Andrews|Mark Famiglietti|Earl Boen|Moira Sinise|Chopper Bernet|Christopher Lawford|Carolyn Hennesy|Jay Acovone|M.C. Gainey|Susan Merson|Elizabeth Morehead|Jimmy Snyder|Billy D. Lucas|Brian Sites|Alana Curry|Larry McCormick|Robert Alonzo|Michael Papajohn|Timothy Dowling|Jon Foster|Mark Hicks|Kim Robillard|Matt Gerald|William O'Leary|Rick Zieff|Rebecca Tilney|Chris Hardwick|Helen Eigenberg|Kiki Gorton|Walter von Huene|Jerry Katell|George A. Sack Jr.|Eric Ritter,109,6.4
There Will Be Blood,2007,4,R,Drama,Paul Thomas Anderson,Daniel Day-Lewis|Martin Stringer|Matthew Braden Stringer|Jacob Stringer|Joseph Mussey|Barry Del Sherman|Harrison Taylor|Stockton Taylor|Paul F. Tompkins|Dillon Freasier|Kevin Breznahan|Jim Meskimen|Erica Sullivan|Randall Carver|Coco Leigh|Paul Dano|Ciarán Hinds|Sydney McCallister|David Willis|Christine Olejniczak|Kellie Hill|James Downey|Dan Swallow|Robert Arber|Bob Bell|David Williams|Joy Rawls|Louise Gregg|Amber Roberts|John W. Watts|Robert Caroline|Barry Bruce|Irene G. Hunter|Hope Elizabeth Reeves|John Chitwood|Kevin J. O'Connor|David Warshofsky|Tom Doyle|Colton Woodward|John Burton|Hans Howes|Robert Barge|Ronald Krut|Huey Rhudy|Steven Barr|Robert Hills|Colleen Foy|Russell Harvard|Bob Bock|Vince Froio|Phil Shelly|Mary Elizabeth Barrett|Brad Carr|Kathryn A Davis|Rhonda Reeves|Beau Smith|Arne Starr,158,8.1
The Thing,1982,21,,Horror|Mystery|Sci-Fi|Thriller,John Carpenter,Kurt Russell|Wilford Brimley|T.K. Carter|David Clennon|Keith David|Richard Dysart|Charles Hallahan|Peter Maloney|Richard Masur|Donald Moffat|Joel Polis|Thomas G. Waites|Norbert Weisser|Larry J. Franco|Nate Irwin|William Zeman|Adrienne Barbeau|John Carpenter|Jed,109,8.2
Things to Do in Denver When You're Dead,1995,15,R,Crime|Drama,Gary Fleder,Andy Garcia|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams|Jack Warden|Steve Buscemi|Fairuza Balk|Gabrielle Anwar|Christopher Walken|Michael Nicolosi|Bill Cobbs|Marshall Bell|Glenn Plummer|Don Stark|Harris Laskawy|Willie Garson|David Stratton|Deborah Strang|Sarah Trigger|Jenny McCarthy|Buddy Guy|Ray Allison|Scott Holt|Greg Rzab|Wiley Harker|Joe Drago|Chuck Bacino|Don Cheadle|Tommy 'Tiny' Lister|Bill Long|Cheree Jaeb|Sarah Levy Arbess|Larissa Michieli|Larry Raben|Lynn Applebaum|Taylor Hayle|Archie Smith|Harriet Medin|Bill Bolender|Susan Merson|Bill Erwin|Nate Ingram|Jacob Bergener|Larry Curry Jr.|Ruthay|Selina Mathews|Phil Boardman|William Denis|Danny Romo|Steve Abbott|Josh Charles,115,6.8
The Third Man,1949,4,,Film-Noir|Mystery|Thriller,Carol Reed,Joseph Cotten|Alida Valli|Orson Welles|Trevor Howard|Bernard Lee|Paul Hörbiger|Ernst Deutsch|Siegfried Breuer|Erich Ponto|Wilfrid Hyde-White|Hedwig Bleibtreu|Nelly Arno|Jack Arrow|Harold Ayer|Harry Belcher|Leo Bieber|Paul Birch|Martin Boddey|Madge Brindley|Robert Brown|Ray Browne|Paul Carpenter|Marie-Louise Charlier|Alexis Chesnakov|Guy De Monceau|Reed De Rouen|Jack Faint|Peter Fontaine|Thomas Gallagher|Michael Godfrey|Vernon Greeves|Herbert Halbik|Paul Hardtmuth|Walter Hertner|Lily Kann|Geoffrey Keen|Brookes Kyle|Martin Miller|Hannah Norbert|Eric Pohlmann|Carol Reed|Annie Rosar|Frederick Schreicker|Hugo Schuster|Karel Stepanek|Gordon Tanner|Ernst Ulman|Helga Wahlrow|Jenny Werner,104,8.4
Thunderball,1965,47,,Action|Adventure|Crime|Thriller,Terence Young,Sean Connery|Claudine Auger|Adolfo Celi|Luciana Paluzzi|Rik Van Nutter|Guy Doleman|Molly Peters|Martine Beswick|Bernard Lee|Desmond Llewelyn|Lois Maxwell|Roland Culver|Earl Cameron|Paul Stassino|Rose Alba|Philip Locke|George Pravda|Michael Brennan|Leonard Sachs|Edward Underdown|Reginald Beckwith|Harold Sanderson|Anthony Bailey|Gábor Baraker|Amelia Bayntun|Anthony Blackshaw|Dana Broccoli|Courtney Brown|Ian Bulloch|Clive Cazes|Cecil Cheng|Michael Culver|Bill Cummings|Anthony Dawson|Henry Ford II|Jack Gwillim|Neil Hallett|Diane Hartford|Philo Hauser|Patrick Holt|Murray Kash|Suzy Kendall|George Leech|André Maranne|Kevin McClory|Albert Michel|Mitsouko|Derek Partridge|Eric Pohlmann|Lloyd Reckord|Robert Rietty|Peter Roy|Charles Russhon|Bill Sawyer|Bob Simmons|Philip Stone|Nikki Van der Zyl,130,7.0
Timeline,2003,65,PG-13,Action|Adventure|Sci-Fi,Richard Donner,Paul Walker|Frances O'Connor|Gerard Butler|Billy Connolly|David Thewlis|Anna Friel|Neal McDonough|Matt Craven|Ethan Embry|Michael Sheen|Lambert Wilson|Marton Csokas|Rossif Sutherland|Steve Kahan|David La Haye|Richard Zeman|Patrick Sabongui|Mike Chute|Jayson Merrill|Vlasta Vrana|Marc Olivier|Jerry Moss|Danny Blanco Hall|Paul Tuerpe|Cas Anvar|Stephanie Biddle|Lois Dellar|Lynne Adams|Christian Tessier|Millie Tresierra|Amy Sloan|Ryan Wulff|Christian Paul|Marian Collier|Edward J. Rosen|Kathryn Stanleigh|Stephen Liska|Cecile Cristobal|Stéfanie Buxton|Bruce Ramsay|Hilary Porter|Marie-Josée Colburn|Alicia Wininger|Luke Letourneau|Stéphanie Montreux|Isabelle Champeau|Richard Donner|Zvonimir Hace|Nick Meaney|Rana Morrison|Sylvia Stewart|Martin Stone|Chris Sullivan|David Tyler,116,5.6
Titanic,1997,307,PG-13,Drama|Romance,James Cameron,Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates|Frances Fisher|Gloria Stuart|Bill Paxton|Bernard Hill|David Warner|Victor Garber|Jonathan Hyde|Suzy Amis|Lewis Abernathy|Nicholas Cascone|Anatoly M. Sagalevitch|Danny Nucci|Jason Barry|Ewan Stewart|Ioan Gruffudd|Jonny Phillips|Mark Lindsay Chapman|Richard Graham|Paul Brightwell|Ron Donachie|Eric Braeden|Charlotte Chatton|Bernard Fox|Michael Ensign|Fannie Brett|Jenette Goldstein|Camilla Overbye Roos|Linda Kerns|Amy Gaipa|Martin Jarvis|Rosalind Ayres|Rochelle Rose|Jonathan Evans-Jones|Brian Walsh|Rocky Taylor|Alexandrea Owens|Simon Crane|Edward Fletcher|Scott G. Anderson|Martin East|Craig Kelly|Gregory Cooke|Liam Tuohy|James Lancaster|Elsa Raven|Lew Palter|Reece P. Thompson III|Laramie Landis|Amber Waddell|Alison Waddell|Mark Rafael Truitt|John Walcutt|Terry Forrestal|Derek Lea|Richard Ashton|Sean Nepita|Brendan Connolly|David Cronnelly|Garth Wilton|Martin Laing|Richard Fox|Nick Meaney|Kevin Owers|Mark Capri|Marc Cass|Paul Herbert|Emmett James|Chris Byrne|Oliver Page|James Garrett|Erik Holland|Jari Kinnunen|Anders Falk|Martin Hub|Seth Adkins|Barry Dennen|Vern Urich|Rebecca Klingler|Tricia O'Neil|Kathleen S. Dunn|Romeo Francis|Mandana Marino|Van Ling|Bjørn Olsen|Dan Pettersson|Shay Duffin|Greg Ellis|Diana Morgan|Lorenz Hasler|Thomas Füri|Ferenc Szedlák|Béla Szedlák|Werner Giger|Patrick Murphy|Stephen Wehmeyer|Stephen Twigger|Shep Lonsdale|Samantha Hunt|Kris Andersson|Bobbie Bates|Aaron James Cash|Anne Fletcher|Edmond Alan Forsyth|Andie Hicks|Scott Hislop|Stan Mazin|Lisa Ratzin|Julene Renee|Brian Baines|Alexandra Boyd|Mike Butters|James Cameron|Bruno Campolo|Chris Cragnotti|Kevyn Currie|Kevin De La Noy|Sean Howse|Rudy Joffroy|Tony Kenny|Sean Lawlor|John Leonhardt|Don Lynch|Johnny Martin|Meghan McLeod|Mike O'Neal|Barbarella Pardo|Phil Parlapiano|Judy Prestininzi|Steven Quale|Olivia Rosewood|John Slade|Stephen Wolfe Smith|R. Gern Trowbridge|Miguel Angel Varela Fimbres|Francisco Váldez,194,7.7
To Die For,1995,2,R,Comedy|Crime|Drama,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Michael Rispoli|Buck Henry|Gerry Quigley|Tom Forrester|Alan Edward Lewis|Nadine MacKinnon|Conrad Coates|Ron Gabriel|Ian Heath|Graeme Millington|Sean Ryan|Nicholas Pasco|Joyce Maynard|David Collins|Eve Crawford|Janet Lo|David Cronenberg|Tom Quinn|Peter Glen|Amber-Lee Campbell|Colleen Williams|Simon Richards|Philip Williams|Susan Backs|Kyra Harper|Adam Roth|Andrew Scott|Tamara Gorski|Katie Griffin|Carla Renee|Melissa Cooper|Tom Peterson|Chris Phillips|Rain Phoenix|George Segal|Isabella Simone,106,6.8
Tombstone,1993,55,R,Action|Drama|History|Romance|Western,George P. Cosmatos|Kevin Jarre,Kurt Russell|Val Kilmer|Sam Elliott|Bill Paxton|Powers Boothe|Michael Biehn|Charlton Heston|Jason Priestley|Jon Tenney|Stephen Lang|Thomas Haden Church|Dana Delany|Paula Malcomson|Lisa Collins|Dana Wheeler-Nicholson|Joanna Pacula|Michael Rooker|Harry Carey Jr.|Billy Bob Thornton|Tomas Arana|Pat Brady|Paul Ben-Victor|John Philbin|Robert John Burke|Billy Zane|Wyatt Earp|John Corbett|Bo Greigh|Forrie J. Smith|Peter Sherayko|Buck Taylor|Terry O'Quinn|Charles Schneider|Gary Clarke|Billy Joe Patton|Frank Stallone|Bobby Joe McFadden|Pedro Armendáriz Jr.|Michael N. Garcia|Grant Wheeler|Jim Dunham|Stephen C. Foster|Grant James|Don Collier|Cecil Hoffman|Charlie Ward|Clark A. Ray|Christopher Mitchum|Sanford Gibbons|Evan Osborne|Shane McCabe|Robert Mitchum|Anthony Auriemma|Michelle Beauchamp|Frank P. Costanza|Sam Dolan|Jim Flowers|Cindy Hundt|Cynthia Shope|J. Nathan Simmons|Christopher Shawn Swinney|George Swinney|Thadd Turner|Jerry Whittington|Michael Wise,130,7.9
Total Recall,1990,77,,Action|Adventure|Sci-Fi,Paul Verhoeven,Arnold Schwarzenegger|Rachel Ticotin|Sharon Stone|Ronny Cox|Michael Ironside|Marshall Bell|Mel Johnson Jr.|Michael Champion|Roy Brocksmith|Ray Baker|Rosemary Dunsmore|David Knell|Alexia Robinson|Dean Norris|Mark Carlton|Debbie Lee Carrington|Lycia Naff|Robert Costanzo|Michael LaGuardia|Priscilla Allen|Ken Strausbaugh|Marc Alaimo|Michael Gregory|Ken Gildin|Mickey Jones|Parker Whitman|Ellen Gollas|Gloria Dorson|Erika Carlsson|Benny Corral|Bob Tzudiker|Erik Cord|Frank Kopyc|Chuck Sloan|Dave Nicolson|Paula McClure|Rebecca Ruth|Milt Tarver|Roger Cudney|Monica Steuer|Sasha Rionda|Linda Howell|Robert Picardo|Kamala Lopez|Morgan Lofting|Patti Attar|Bob Bergen|Joe Unger|Karlyn Michelson|Andy Armstrong|Allan Graf|Peter Kent|Joel Kramer|Bennie Moore,113,7.5
The Transformers: The Movie,1986,47,,Animation|Action|Adventure|Family|Sci-Fi,Nelson Shin,Norman Alden|Jack Angel|Michael Bell|Gregg Berger|Susan Blu|Arthur Burghardt|Corey Burton|Roger C. Carmel|Victor Caroli|Regis Cordic|Scatman Crothers|Peter Cullen|Bud Davis|Walker Edmiston|Paul Eiding|Ed Gilbert|Dan Gilvezan|Eric Idle|Buster Jones|Stan Jones|Casey Kasem|Chris Latta|David Mendenhall|Don Messick|John Moschitta Jr.|Judd Nelson|Leonard Nimoy|Hal Rayle|Clive Revill|Neil Ross|Robert Stack|Lionel Stander|Frank Welker|Orson Welles,84,7.4
The Transporter,2002,8,PG-13,Action|Crime|Thriller,Corey Yuen,Jason Statham|Qi Shu|Matt Schulze|François Berléand|Ric Young|Doug Rand|Didier Saint Melin|Tonio Descanvelle|Laurent Desponds|Matthieu Albertini|Vincent Nemeth|Jean-Yves Bilien|Jean-Marie Paris|Adrian Dearnell|Alfred Lot|Audrey Hamm|Sebastien Migneau|Laurent Jumeaucourt|Christian Gazio|Frédéric Vallet|Stefan Gudju|Sandrine Rigaux|Cameron Watson|Vincent Tulli,92,6.8
Transporter 2,2005,11,PG-13,Action|Crime|Thriller,Louis Leterrier,Jason Statham|Alessandro Gassman|Amber Valletta|Kate Nauta|Matthew Modine|Jason Flemyng|Keith David|Hunter Clary|Shannon Briggs|François Berléand|Raymond Tong|George Kapetan|Jeff Chase|Gregg Weiner|Gregg Davis|Marty Wright|AnnaLynne McCord|Reggie Pierre|Elie Thompson|Adam Faldetta|Michael House|Tim Ware|Liv Davalos Maier|Damaris Justamante|Andy Horne|Doug MacKinnon|Marc Macaulay|Bill Wilson|Robert Small|Jim R. Coleman|Heath Kelts|Chris Campbell|Paul Tei|Ernest Harden Jr.|Tim Powell|Shelah Marie|Shelah Rhoulhac|Tom Derek|Serafin Falcon|Max Osterweis|Laurence Gormezano|Jay Amor|Scott Dale|Vincent De Paul|Bobby Dodge|Roberto Escobar|Jesse Holland|Erik Joseph|Elissa Kapneck|Dave Knight|Bruce Perkins|Erik Townsend,87,6.3
Troy,2004,572,R,Adventure|Drama,Wolfgang Petersen,Julian Glover|Brian Cox|Nathan Jones|Adoni Maropis|Jacob Smith|Brad Pitt|John Shrapnel|Brendan Gleeson|Diane Kruger|Eric Bana|Orlando Bloom|Siri Svegler|Lucie Barat|Ken Bones|Manuel Cauchi|Mark Lewis Jones|Garrett Hedlund|Sean Bean|Julie Christie|Peter O'Toole|James Cosmo|Nigel Terry|Trevor Eve|Owain Yeoman|Saffron Burrows|Luke Tal|Matthew Tal|Rose Byrne|Vincent Regan|Tyler Mane|Louis Dempsey|Joshua Richards|Tim Chipping|Desislava Stefanova|Tanja Tzarovska|Alex King|Frankie Fitzgerald,163,7.2
True Lies,1994,71,R,Action|Thriller,James Cameron,Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold|Bill Paxton|Tia Carrere|Art Malik|Eliza Dushku|Grant Heslov|Charlton Heston|Marshall Manesh|James Allen|Dieter Rauter|Jane Morris|Katsy Chappell|Crystina Wyler|Ofer Samra|Paul Barselou|Charles A. Tamburro|Jean-Claude Parachini|Uzi Gal|Majed Ibrahim|Armen Ksajikian|Mike Akrawi|Mike Cameron|Charles Cragin|Louai Mardini|Gino Salvano|Scott Dotson|Tom Isbell|John Bruno|Joe Abby|Tony De Leon|Mary A. DeBriae|Kim Giancaterino|Brian N. Hoff|Al Kamarr|Sergio Kato|Dave Knight|Takao Komine|Jody Millard|Andre Nirmel|Erik Parillo|Manny Perry|Charlie Picerni|William Shipman|Matt Sigloch|Mark Winn,141,7.2
